cell,track,seed,n,noise,model,split,nu,horizon,lag,mse,relative_l2,max_state,fraction_abs_gt_1_5,energy_monotone_fraction,energy_max_increase,energy_mean_positive_increase,energy_is_lyapunov_candidate
2,irregular,42,16,0.01,autonomous,stress,0.005,0.6,0.06,0.003302538301795721,0.07570940256118774,1.1575887203216553,0.0,1.0,-0.025448203086853027,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.005,0.6,0.12,0.003302044002339244,0.07570373266935349,1.1575872898101807,0.0,1.0,-0.056490421295166016,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.005,0.6,0.24,0.0033014384098351,0.07569678872823715,1.1575802564620972,0.0,1.0,-0.05649077892303467,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.005,1.2,0.06,0.009261185303330421,0.10860418528318405,1.158459186553955,0.0,1.0,-0.0005059242248535156,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.005,1.2,0.12,0.009258360601961613,0.10858762264251709,1.1584590673446655,0.0,1.0,-0.0018683671951293945,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.005,1.2,0.24,0.009244322776794434,0.10850527882575989,1.1584535837173462,0.0,1.0,-0.008063554763793945,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.005,2.4,0.06,0.01576193794608116,0.12936371564865112,1.1588364839553833,0.0,0.76171875,0.0033518075942993164,0.00035080817178823054,True
2,irregular,42,16,0.01,autonomous,stress,0.005,2.4,0.12,0.015759263187646866,0.12935274839401245,1.1588380336761475,0.0,0.760937511920929,0.006674408912658691,0.0006992770358920097,True
2,irregular,42,16,0.01,autonomous,stress,0.005,2.4,0.24,0.01574517972767353,0.12929493188858032,1.1588373184204102,0.0,0.765625,0.012941837310791016,0.0013672902714461088,True
2,irregular,42,16,0.01,autonomous,stress,0.02,0.6,0.06,0.0031564603559672832,0.07478221505880356,1.1547971963882446,0.0,1.0,-0.01952528953552246,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.02,0.6,0.12,0.003155788406729698,0.07477425783872604,1.1547915935516357,0.0,1.0,-0.04476118087768555,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.02,0.6,0.24,0.0031548617407679558,0.07476327568292618,1.1547725200653076,0.0,1.0,-0.04476630687713623,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.02,1.2,0.06,0.008753083646297455,0.10765738040208817,1.1574615240097046,0.0,0.989062488079071,0.0036116838455200195,1.8548405932961032e-05,True
2,irregular,42,16,0.01,autonomous,stress,0.02,1.2,0.12,0.008749452419579029,0.10763505101203918,1.1574597358703613,0.0,0.9906250238418579,0.0067441463470458984,3.474354889476672e-05,True
2,irregular,42,16,0.01,autonomous,stress,0.02,1.2,0.24,0.008733676746487617,0.10753797739744186,1.1574437618255615,0.0,0.9937499761581421,0.010537862777709961,6.586164090549573e-05,True
2,irregular,42,16,0.01,autonomous,stress,0.02,2.4,0.06,0.015017535537481308,0.13048459589481354,1.15877366065979,0.0,0.655468761920929,0.004932284355163574,0.0008649667724967003,True
2,irregular,42,16,0.01,autonomous,stress,0.02,2.4,0.12,0.015013662166893482,0.13046777248382568,1.158776044845581,0.0,0.653124988079071,0.009778022766113281,0.0017247047508135438,True
2,irregular,42,16,0.01,autonomous,stress,0.02,2.4,0.24,0.014996418729424477,0.13039283454418182,1.1587741374969482,0.0,0.6656249761581421,0.018863916397094727,0.003378641325980425,True
2,irregular,42,16,0.01,autonomous,stress,0.08,0.6,0.06,0.0027454334776848555,0.07230164110660553,1.1455798149108887,0.0,1.0,-0.008139371871948242,0.0,True
2,irregular,42,16,0.01,autonomous,stress,0.08,0.6,0.12,0.0027447433676570654,0.07229255884885788,1.1455652713775635,0.0,1.0,-0.02104508876800537,0.0,True
